title,price,link,source,rating,reviews,thumbnail,price_float
Knape and Vogt Hinges for Under Cabinet Pull Down Racks,$61.23,,Hardware Hut,4.6,44,https://serpapi.com/searches/688860e009a51ac387adb531/images/fbb514f879a3640fd88445f9c52d345b3dc33b98c2e5769765b935ebaddcbb45.webp,61.23
Knape & Vogt Kvucr Hinge N Pull Down Rack,$68.15,,Woodworker's Hardware,4.1,8,https://serpapi.com/searches/688860e009a51ac387adb531/images/fbb514f879a3640fd88445f9c52d345b97148b93fd78459f1df09223e3079d20.webp,68.15
Standalone Hinges for Pull Down Rack,$56.23,,Walmart - Seller,,,https://serpapi.com/searches/688860e009a51ac387adb531/images/fbb514f879a3640fd88445f9c52d345bbe1a9635ce9a7fd720d856704dafad81.webp,56.23
Pull Down Rack Hinge,$60.99,,eBay,,,https://serpapi.com/searches/688860e009a51ac387adb531/images/fbb514f879a3640fd88445f9c52d345b20940a4295035b1b8a330ac40a0ac28f.webp,60.99
Seismic Audio Universal Lift Off Hinges for PA/DJ Gear,$14.39,,Seismic Audio Speakers,,,https://serpapi.com/searches/688860e009a51ac387adb531/images/fbb514f879a3640fd88445f9c52d345b704c276203f29b7a7f8dcc502ea3053d.webp,14.39
Rev-A-Shelf RV6552 Hinges for Tip-Out Trays,$6.80,,Rockler Woodworking and Hardware,4.0,1,https://serpapi.com/searches/688860e009a51ac387adb531/images/fbb514f879a3640fd88445f9c52d345bf9327becbe3ef707ea994bf6752cb43b.webp,6.8
Richelieu Atmos Liftup Hinge AT00MD30,$47.16,,Home Depot,4.5,4,https://serpapi.com/searches/688860e009a51ac387adb531/images/fbb514f879a3640fd88445f9c52d345bc1b3bf6b4356407319b89c03eaf3419a.webp,47.16
HBL' 4 Pack 90 Degree Folding Hinge Bracket,$18.99,,Walmart - Seller,,,https://serpapi.com/searches/688860e009a51ac387adb531/images/fbb514f879a3640fd88445f9c52d345be21d08e3046d7dce7347bf26f67894a9.webp,18.99
Hollywood Racks F4 Hinge and Hardware,$20.00,,Hollywood Racks,,,https://serpapi.com/searches/688860e009a51ac387adb531/images/fbb514f879a3640fd88445f9c52d345bca3b4543555d4e9f6cf7bceee0dfe316.webp,20.0
Drop Hinge Sugatsune SDH-001,$8.08,,Pro Cabinet Supply,2.0,1,https://serpapi.com/searches/688860e009a51ac387adb531/images/fbb514f879a3640fd88445f9c52d345b8510169b62ff4d246eea538c32a90300.webp,8.08
